accession,entry_type,database,primary_id,secondary_id,isoform
A0A0R4IA85,TrEMBL,Ensembl,ENSDART00000166780.2,ENSDARP00000129914.2,
A0A0R4IA85,TrEMBL,ZFIN,ZDB-GENE-070912-75,si:ch211-141e20.2,
A0A0R4IA87,TrEMBL,Ensembl,ENSDART00000159270.2,ENSDARP00000130454.1,
A0A0R4IA87,TrEMBL,ZFIN,ZDB-GENE-100105-3,thsd1,
A0A0R4IA95,TrEMBL,Ensembl,ENSDART00000169667.3,ENSDARP00000131142.2,
A0A0R4IA95,TrEMBL,ZFIN,ZDB-GENE-070424-54,ptpro,
A0A0R4IA99,TrEMBL,Ensembl,ENSDART00000170792.2,ENSDARP00000131048.1,
A0A0R4IA99,TrEMBL,ZFIN,ZDB-GENE-120613-1,fcho1,
A0A0R4IAA0,TrEMBL,Ensembl,ENSDART00000157502.2,ENSDARP00000129975.1,
A0A0R4IAA0,TrEMBL,ZFIN,ZDB-GENE-050208-641,znf1165,
A0A0R4IAA4,TrEMBL,Ensembl,ENSDART00000172343.2,ENSDARP00000129995.2,
A0A0R4IAA4,TrEMBL,ZFIN,ZDB-GENE-080204-120,cishb,
A0A0R4IAA6,TrEMBL,Ensembl,ENSDART00000169502.2,ENSDARP00000129997.1,
A0A0R4IAA6,TrEMBL,ZFIN,ZDB-GENE-080207-2,zgc:174944,
A0A0R4IAB1,TrEMBL,Ensembl,ENSDART00000160538.2,ENSDARP00000130238.1,
A0A0R4IAB1,TrEMBL,ZFIN,ZDB-GENE-090918-5,arhgap21a,
A0A0R4IAB2,TrEMBL,Ensembl,ENSDART00000172035.2,ENSDARP00000130017.2,
A0A0R4IAB2,TrEMBL,ZFIN,ZDB-GENE-081028-46,si:ch211-278p9.1,
A0A0R4IAB4,TrEMBL,Ensembl,ENSDART00000163418.2,ENSDARP00000131204.1,
A0A0R4IAB4,TrEMBL,ZFIN,ZDB-GENE-141216-244,si:ch73-21d24.1,
A0A0R4IAB6,TrEMBL,Ensembl,ENSDART00000167503.2,ENSDARP00000130035.2,
A0A0R4IAB6,TrEMBL,ZFIN,ZDB-GENE-060929-264,mrps5,
A0A0R4IAB7,TrEMBL,Ensembl,ENSDART00000167331.2,ENSDARP00000130555.1,
A0A0R4IAB7,TrEMBL,ZFIN,ZDB-GENE-000616-13,appa,
A0A0R4IAC0,TrEMBL,Ensembl,ENSDART00000171244.2,ENSDARP00000131244.1,
A0A0R4IAC0,TrEMBL,ZFIN,ZDB-GENE-081205-4,ssh2b,
A0A0R4IAC2,TrEMBL,Ensembl,ENSDART00000162369.2,ENSDARP00000130278.1,
A0A0R4IAC2,TrEMBL,ZFIN,ZDB-GENE-070209-274,acap3b,
A0A0R4IAC4,TrEMBL,Ensembl,ENSDART00000162165.2,ENSDARP00000131255.2,
A0A0R4IAC4,TrEMBL,ZFIN,ZDB-GENE-050309-32,kdm7ab,
A0A0R4IAC5,TrEMBL,Ensembl,ENSDART00000161536.2,ENSDARP00000131264.2,
A0A0R4IAC5,TrEMBL,ZFIN,ZDB-GENE-081104-105,si:ch211-124n19.2,
A0A0R4IAC8,TrEMBL,Ensembl,ENSDART00000169135.2,ENSDARP00000130096.1,
A0A0R4IAC8,TrEMBL,ZFIN,ZDB-GENE-110914-180,si:dkey-264f17.3,
A0A0R4IAC9,TrEMBL,Ensembl,ENSDART00000139940.3,ENSDARP00000130619.1,
A0A0R4IAC9,TrEMBL,ZFIN,ZDB-GENE-100922-82,si:dkey-182g1.6,
A0A0R4IAD4,TrEMBL,Ensembl,ENSDART00000166853.2,ENSDARP00000131265.1,
A0A0R4IAD4,TrEMBL,ZFIN,ZDB-GENE-060421-6071,zgc:136410,
A0A0R4IAD5,TrEMBL,Ensembl,ENSDART00000169129.2,ENSDARP00000130098.1,
A0A0R4IAD5,TrEMBL,ZFIN,ZDB-GENE-060512-226,ndrg4,
A0A0R4IAE0,TrEMBL,Ensembl,ENSDART00000171080.2,ENSDARP00000131172.1,
A0A0R4IAE0,TrEMBL,ZFIN,ZDB-GENE-020905-3,msh6,
A0A0R4IAE1,TrEMBL,Ensembl,ENSDART00000162176.2,ENSDARP00000130118.1,
A0A0R4IAE1,TrEMBL,ZFIN,ZDB-GENE-030616-382,grk3,
A0A0R4IAE3,TrEMBL,Ensembl,ENSDART00000165152.2,ENSDARP00000131296.2,
A0A0R4IAE3,TrEMBL,ZFIN,ZDB-GENE-040426-2086,ppp2r2d,
A0A0R4IAE5,TrEMBL,Ensembl,ENSDART00000164166.2,ENSDARP00000130659.1,
A0A0R4IAE5,TrEMBL,ZFIN,ZDB-GENE-030131-3956,si:dkey-260j18.2,
A0A0R4IAE9,TrEMBL,Ensembl,ENSDART00000159453.2,ENSDARP00000131192.1,
A0A0R4IAE9,TrEMBL,ZFIN,ZDB-GENE-050913-114,macroh2a2,
A0A0R4IAF0,TrEMBL,Ensembl,ENSDART00000169990.2,ENSDARP00000130160.1,
A0A0R4IAF0,TrEMBL,ZFIN,ZDB-GENE-050522-342,wbp4,
A0A0R4IAF3,TrEMBL,Ensembl,ENSDART00000158731.2,ENSDARP00000130699.2,
A0A0R4IAF3,TrEMBL,ZFIN,ZDB-GENE-011128-3,jag2b,
A0A0R4IAF7,TrEMBL,Ensembl,ENSDART00000166294.2,ENSDARP00000131064.1,
A0A0R4IAF7,TrEMBL,ZFIN,ZDB-GENE-040426-1917,metrnla,
A0A0R4IAF8,TrEMBL,Ensembl,ENSDART00000165295.2,ENSDARP00000131358.1,
A0A0R4IAF8,TrEMBL,ZFIN,ZDB-GENE-070424-52,stk24a,
A0A0R4IAF9,TrEMBL,Ensembl,ENSDART00000161005.2,ENSDARP00000130380.1,
A0A0R4IAF9,TrEMBL,ZFIN,ZDB-GENE-060503-738,cmtm8a,
A0A0R4IAG0,TrEMBL,Ensembl,ENSDART00000159930.2,ENSDARP00000131232.2,
A0A0R4IAG0,TrEMBL,ZFIN,ZDB-GENE-050119-2,lrp2a,
A0A0R4IAG8,TrEMBL,Ensembl,ENSDART00000161466.2,ENSDARP00000131105.2,
A0A0R4IAG8,TrEMBL,ZFIN,ZDB-GENE-110411-277,abhd5b,
A0A0R4IAG9,TrEMBL,Ensembl,ENSDART00000165885.2,ENSDARP00000130200.1,
A0A0R4IAG9,TrEMBL,ZFIN,ZDB-GENE-050208-782,cfhl5,
A0A0R4IAH1,TrEMBL,Ensembl,ENSDART00000167731.2,ENSDARP00000130420.1,
A0A0R4IAH1,TrEMBL,ZFIN,ZDB-GENE-030521-29,cnp,
A0A0R4IAH2,TrEMBL,Ensembl,ENSDART00000157831.2,ENSDARP00000131387.2,
A0A0R4IAH2,TrEMBL,ZFIN,ZDB-GENE-040426-852,dnpep,
A0A0R4IAH3,TrEMBL,Ensembl,ENSDART00000170835.2,ENSDARP00000130260.1,
A0A0R4IAH3,TrEMBL,ZFIN,ZDB-GENE-040718-392,eci2,
A0A0R4IAH9,TrEMBL,Ensembl,ENSDART00000166728.2,ENSDARP00000136512.1,
A0A0R4IAH9,TrEMBL,Ensembl,ENSDART00000170317.2,ENSDARP00000131348.1,
A0A0R4IAH9,TrEMBL,ZFIN,ZDB-GENE-091204-389,si:dkey-102m7.3,
A0A0R4IAI2,TrEMBL,Ensembl,ENSDART00000160921.2,ENSDARP00000131368.2,
A0A0R4IAI2,TrEMBL,ZFIN,ZDB-GENE-990415-8,pax2a,
A0A0R4IAI4,TrEMBL,Ensembl,ENSDART00000172709.2,ENSDARP00000130300.1,
A0A0R4IAI4,TrEMBL,ZFIN,ZDB-GENE-130530-685,rptor,
A0A0R4IAI5,TrEMBL,Ensembl,ENSDART00000162804.2,ENSDARP00000130242.2,
A0A0R4IAI5,TrEMBL,ZFIN,ZDB-GENE-141210-6,kcnt1b,
A0A0R4IAI9,TrEMBL,Ensembl,ENSDART00000169115.2,ENSDARP00000131388.2,
A0A0R4IAI9,TrEMBL,ZFIN,ZDB-GENE-131121-334,si:ch73-167f10.1,
A0A0R4IAJ6,TrEMBL,Ensembl,ENSDART00000165644.2,ENSDARP00000131408.1,
A0A0R4IAJ6,TrEMBL,ZFIN,ZDB-GENE-030521-29,cnp,
A0A0R4IAJ7,TrEMBL,Ensembl,ENSDART00000161548.2,ENSDARP00000129913.1,
A0A0R4IAJ7,TrEMBL,ZFIN,ZDB-GENE-080204-34,kif22,
A0A0R4IAJ8,TrEMBL,Ensembl,ENSDART00000158174.2,ENSDARP00000131487.2,
A0A0R4IAJ8,TrEMBL,ZFIN,ZDB-GENE-050320-124,zgc:113294,
A0A0R4IAK2,TrEMBL,Ensembl,ENSDART00000159391.2,ENSDARP00000130302.1,
A0A0R4IAK2,TrEMBL,ZFIN,ZDB-GENE-040426-1527,vps28,
A0A0R4IAK4,TrEMBL,Ensembl,ENSDART00000157975.2,ENSDARP00000130500.1,
A0A0R4IAK4,TrEMBL,ZFIN,ZDB-GENE-070424-218,si:dkey-190j3.4,
A0A0R4IAK8,TrEMBL,Ensembl,ENSDART00000160607.2,ENSDARP00000131527.1,
A0A0R4IAK8,TrEMBL,ZFIN,ZDB-GENE-110914-100,si:ch211-145h19.3,
A0A0R4IAL7,TrEMBL,Ensembl,ENSDART00000167452.2,ENSDARP00000131376.2,
A0A0R4IAL7,TrEMBL,ZFIN,ZDB-GENE-071120-6,crfb15,
A0A0R4IAM0,TrEMBL,Ensembl,ENSDART00000164467.2,ENSDARP00000130903.2,
A0A0R4IAM0,TrEMBL,ZFIN,ZDB-GENE-050306-4,slc66a1,
A0A0R4IAM1,TrEMBL,Ensembl,ENSDART00000164134.2,ENSDARP00000129904.1,
A0A0R4IAM1,TrEMBL,ZFIN,ZDB-GENE-040426-2942,creb3l3l,
A0A0R4IAM3,TrEMBL,Ensembl,ENSDART00000171520.2,ENSDARP00000130540.1,
A0A0R4IAM3,TrEMBL,ZFIN,ZDB-GENE-141222-86,si:dkey-238i5.3,
A0A0R4IAM8,TrEMBL,Ensembl,ENSDART00000158469.2,ENSDARP00000129924.1,
A0A0R4IAM8,TrEMBL,ZFIN,ZDB-GENE-081103-4,si:ch211-232d10.3,
A0A0R4IAM9,TrEMBL,Ensembl,ENSDART00000159971.2,ENSDARP00000130422.1,
A0A0R4IAM9,TrEMBL,ZFIN,ZDB-GENE-121214-266,si:ch73-193i22.1,
A0A0R4IAN1,TrEMBL,Ensembl,ENSDART00000171729.2,ENSDARP00000131416.1,
A0A0R4IAN1,TrEMBL,ZFIN,ZDB-GENE-031201-4,pkma,
A0A0R4IAN3,TrEMBL,Ensembl,ENSDART00000166654.2,ENSDARP00000130561.1,
A0A0R4IAN3,TrEMBL,ZFIN,ZDB-GENE-141216-79,si:ch73-160p18.4,
A0A0R4IAN5,TrEMBL,Ensembl,ENSDART00000161000.2,ENSDARP00000131608.2,
A0A0R4IAN5,TrEMBL,ZFIN,ZDB-GENE-060413-17,taar19g,
A0A0R4IAP2,TrEMBL,Ensembl,ENSDART00000166231.2,ENSDARP00000130014.2,
A0A0R4IAP2,TrEMBL,ZFIN,ZDB-GENE-030131-563,pcbp2,
A0A0R4IAP9,TrEMBL,Ensembl,ENSDART00000168958.2,ENSDARP00000131456.1,
A0A0R4IAP9,TrEMBL,ZFIN,ZDB-GENE-030131-4487,sec24c,
A0A0R4IAQ0,TrEMBL,Ensembl,ENSDART00000165113.2,ENSDARP00000131659.2,
A0A0R4IAQ0,TrEMBL,ZFIN,ZDB-GENE-110914-71,si:dkeyp-82b4.6,
A0A0R4IAQ1,TrEMBL,Ensembl,ENSDART00000158933.2,ENSDARP00000130462.2,
A0A0R4IAQ1,TrEMBL,ZFIN,ZDB-GENE-050208-283,eif3eb,
A0A0R4IAQ2,TrEMBL,Ensembl,ENSDART00000159531.2,ENSDARP00000130604.1,
A0A0R4IAQ2,TrEMBL,Ensembl,ENSDART00000183865.1,ENSDARP00000151568.1,
A0A0R4IAQ2,TrEMBL,ZFIN,ZDB-GENE-120202-1,lpar3,
A0A0R4IAQ3,TrEMBL,Ensembl,ENSDART00000162795.2,ENSDARP00000129985.1,
A0A0R4IAQ3,TrEMBL,ZFIN,ZDB-GENE-980526-176,ccnd1,
A0A0R4IAQ9,TrEMBL,Ensembl,ENSDART00000167817.2,ENSDARP00000130984.1,
A0A0R4IAQ9,TrEMBL,ZFIN,ZDB-GENE-061027-60,atp2b4,
A0A0R4IAR0,TrEMBL,Ensembl,ENSDART00000163266.2,ENSDARP00000130482.2,
A0A0R4IAR0,TrEMBL,ZFIN,ZDB-GENE-081028-23,si:dkey-19p15.4,
A0A0R4IAR6,TrEMBL,Ensembl,ENSDART00000165323.2,ENSDARP00000130025.1,
A0A0R4IAR6,TrEMBL,ZFIN,ZDB-GENE-061103-283,zgc:154054,
A0A0R4IAR8,TrEMBL,Ensembl,ENSDART00000170480.2,ENSDARP00000131004.1,
A0A0R4IAR8,TrEMBL,ZFIN,ZDB-GENE-120703-45,si:dkeyp-44d3.3,
A0A0R4IAR9,TrEMBL,Ensembl,ENSDART00000170129.2,ENSDARP00000130645.1,
A0A0R4IAR9,TrEMBL,ZFIN,ZDB-GENE-071004-121,zgc:174353,
A0A0R4IAS3,TrEMBL,Ensembl,ENSDART00000171214.2,ENSDARP00000130502.1,
A0A0R4IAS3,TrEMBL,ZFIN,ZDB-GENE-060929-596,nars2,
A0A0R4IAS4,TrEMBL,Ensembl,ENSDART00000168745.2,ENSDARP00000131629.1,
A0A0R4IAS4,TrEMBL,ZFIN,ZDB-GENE-041111-134,im:7141269,
A0A0R4IAS6,TrEMBL,Ensembl,ENSDART00000167213.2,ENSDARP00000131536.1,
A0A0R4IAS6,TrEMBL,ZFIN,ZDB-GENE-040426-1303,diabloa,
A0A0R4IAT1,TrEMBL,Ensembl,ENSDART00000171352.2,ENSDARP00000133490.1,
A0A0R4IAT1,TrEMBL,ZFIN,ZDB-GENE-130530-569,si:ch211-27e6.1,
A0A0R4IAT2,TrEMBL,Ensembl,ENSDART00000169198.2,ENSDARP00000130665.1,
A0A0R4IAT2,TrEMBL,ZFIN,ZDB-GENE-081104-190,adgrd2,
A0A0R4IAT8,TrEMBL,Ensembl,ENSDART00000163914.3,ENSDARP00000129886.2,
A0A0R4IAT8,TrEMBL,ZFIN,ZDB-GENE-000427-3,p2rx3a,
A0A0R4IAU0,TrEMBL,Ensembl,ENSDART00000162086.3,ENSDARP00000131577.3,
A0A0R4IAU0,TrEMBL,ZFIN,ZDB-GENE-070912-199,si:ch211-220f16.2,
A0A0R4IAU1,TrEMBL,Ensembl,ENSDART00000163476.2,ENSDARP00000131769.1,
A0A0R4IAU1,TrEMBL,ZFIN,ZDB-GENE-041210-280,si:ch211-76m11.8,
A0A0R4IAU3,TrEMBL,Ensembl,ENSDART00000163923.2,ENSDARP00000130135.1,
A0A0R4IAU3,TrEMBL,ZFIN,ZDB-GENE-040824-3,rfc4,
A0A0R4IAU5,TrEMBL,Ensembl,ENSDART00000158528.2,ENSDARP00000130384.1,
A0A0R4IAU5,TrEMBL,Ensembl,ENSDART00000169519.2,ENSDARP00000130086.2,
A0A0R4IAU5,TrEMBL,ZFIN,ZDB-GENE-080215-22,zgc:172014,
A0A0R4IAU6,TrEMBL,Ensembl,ENSDART00000160237.2,ENSDARP00000130685.2,
A0A0R4IAU6,TrEMBL,ZFIN,ZDB-GENE-050809-116,dcaf11,
A0A0R4IAU8,TrEMBL,Ensembl,ENSDART00000161063.2,ENSDARP00000131597.1,
A0A0R4IAU8,TrEMBL,ZFIN,ZDB-GENE-030131-6378,heatr1,
A0A0R4IAU9,TrEMBL,Ensembl,ENSDART00000167526.2,ENSDARP00000129907.2,
A0A0R4IAU9,TrEMBL,ZFIN,ZDB-GENE-081103-34,si:dkey-3p4.1,
A0A0R4IAV0,TrEMBL,Ensembl,ENSDART00000168786.3,ENSDARP00000130504.1,
A0A0R4IAV0,TrEMBL,ZFIN,ZDB-GENE-030131-5614,h1m,
A0A0R4IAV1,TrEMBL,Ensembl,ENSDART00000171444.2,ENSDARP00000131710.1,
A0A0R4IAV1,TrEMBL,ZFIN,ZDB-GENE-140106-130,stag3,
A0A0R4IAV3,TrEMBL,Ensembl,ENSDART00000161206.2,ENSDARP00000130584.1,
A0A0R4IAV3,TrEMBL,ZFIN,ZDB-GENE-031201-4,pkma,
A0A0R4IAV4,TrEMBL,Ensembl,ENSDART00000170917.2,ENSDARP00000131822.1,
A0A0R4IAV4,TrEMBL,ZFIN,ZDB-GENE-040426-2666,junbb,
A0A0R4IAV5,TrEMBL,Ensembl,ENSDART00000162537.2,ENSDARP00000130705.1,
A0A0R4IAV5,TrEMBL,ZFIN,ZDB-GENE-041118-3,pcdh2ab3,
A0A0R4IAW3,TrEMBL,Ensembl,ENSDART00000157454.2,ENSDARP00000130606.2,
A0A0R4IAW3,TrEMBL,ZFIN,ZDB-GENE-990415-31,ncam1a,
A0A0R4IAW5,TrEMBL,Ensembl,ENSDART00000167985.2,ENSDARP00000131637.1,
A0A0R4IAW5,TrEMBL,ZFIN,ZDB-GENE-030131-7928,rpn2,
A0A0R4IAX6,TrEMBL,Ensembl,ENSDART00000171191.2,ENSDARP00000131106.2,
A0A0R4IAX6,TrEMBL,ZFIN,ZDB-GENE-130530-1,si:dkeyp-4c4.2,
A0A0R4IAX7,TrEMBL,Ensembl,ENSDART00000164809.2,ENSDARP00000131432.1,
A0A0R4IAX7,TrEMBL,ZFIN,ZDB-GENE-141215-58,si:ch73-233f7.5,
A0A0R4IAX8,TrEMBL,Ensembl,ENSDART00000171886.2,ENSDARP00000130565.2,
A0A0R4IAX8,TrEMBL,ZFIN,ZDB-GENE-050327-16,lifra,
A0A0R4IAX9,TrEMBL,Ensembl,ENSDART00000164889.2,ENSDARP00000130217.1,
A0A0R4IAX9,TrEMBL,ZFIN,ZDB-GENE-141212-171,si:dkey-161l11.67,
A0A0R4IAY1,TrEMBL,Ensembl,ENSDART00000160021.2,ENSDARP00000131678.2,
A0A0R4IAY1,TrEMBL,ZFIN,ZDB-GENE-131122-2,si:dkey-165o8.2,
A0A0R4IAY2,TrEMBL,Ensembl,ENSDART00000165332.2,ENSDARP00000131904.1,
A0A0R4IAY2,TrEMBL,ZFIN,ZDB-GENE-061110-138,dnajb14,
A0A0R4IAY5,TrEMBL,Ensembl,ENSDART00000166063.2,ENSDARP00000129988.1,
A0A0R4IAY5,TrEMBL,ZFIN,ZDB-GENE-080319-2,slc25a13,
A0A0R4IAY8,TrEMBL,Ensembl,ENSDART00000162172.2,ENSDARP00000131127.2,
A0A0R4IAY8,TrEMBL,ZFIN,ZDB-GENE-070410-82,scmh1,
A0A0R4IAZ0,TrEMBL,Ensembl,ENSDART00000159985.2,ENSDARP00000131893.1,
A0A0R4IAZ0,TrEMBL,ZFIN,ZDB-GENE-110114-3,cyp2aa11,
A0A0R4IAZ3,TrEMBL,Ensembl,ENSDART00000162397.2,ENSDARP00000129915.2,
A0A0R4IAZ3,TrEMBL,ZFIN,ZDB-GENE-131127-323,si:ch211-182p11.1,
A0A0R4IAZ7,TrEMBL,Ensembl,ENSDART00000165142.2,ENSDARP00000131148.1,
A0A0R4IAZ7,TrEMBL,ZFIN,ZDB-GENE-030722-4,slit1b,
A0A0R4IB01,TrEMBL,Ensembl,ENSDART00000163814.2,ENSDARP00000131738.1,
A0A0R4IB01,TrEMBL,ZFIN,ZDB-GENE-081103-19,si:dkey-165e24.1,
A0A0R4IB02,TrEMBL,Ensembl,ENSDART00000158418.2,ENSDARP00000130687.1,
A0A0R4IB02,TrEMBL,ZFIN,ZDB-GENE-061103-493,csk,
A0A0R4IB03,TrEMBL,Ensembl,ENSDART00000169992.2,ENSDARP00000129898.1,
A0A0R4IB03,TrEMBL,ZFIN,ZDB-GENE-120323-1,pla2r1,
A0A0R4IB04,TrEMBL,Ensembl,ENSDART00000170663.3,ENSDARP00000131933.2,
A0A0R4IB04,TrEMBL,ZFIN,ZDB-GENE-070112-432,zgc:158464,
A0A0R4IB05,TrEMBL,Ensembl,ENSDART00000170620.2,ENSDARP00000129942.1,
A0A0R4IB05,TrEMBL,ZFIN,ZDB-GENE-131127-209,ctxn1,
A0A0R4IB11,TrEMBL,Ensembl,ENSDART00000165125.2,ENSDARP00000131758.2,
A0A0R4IB11,TrEMBL,ZFIN,ZDB-GENE-070424-67,wdr90,
A0A0R4IB12,TrEMBL,Ensembl,ENSDART00000168997.2,ENSDARP00000130279.1,
A0A0R4IB12,TrEMBL,ZFIN,ZDB-GENE-061103-631,tmprss4a,
A0A0R4IB15,TrEMBL,Ensembl,ENSDART00000167906.2,ENSDARP00000129963.1,
A0A0R4IB15,TrEMBL,ZFIN,ZDB-GENE-000622-1,gata6,
A0A0R4IB19,TrEMBL,Ensembl,ENSDART00000164678.2,ENSDARP00000131532.1,
A0A0R4IB19,TrEMBL,ZFIN,ZDB-GENE-041114-141,katnal1,
A0A0R4IB23,TrEMBL,Ensembl,ENSDART00000159878.2,ENSDARP00000130299.2,
A0A0R4IB23,TrEMBL,ZFIN,ZDB-GENE-040426-2942,creb3l3l,
A0A0R4IB26,TrEMBL,Ensembl,ENSDART00000169220.2,ENSDARP00000130250.1,
A0A0R4IB26,TrEMBL,ZFIN,ZDB-GENE-030131-5032,edc4,
A0A0R4IB29,TrEMBL,Ensembl,ENSDART00000169431.2,ENSDARP00000131209.2,
A0A0R4IB29,TrEMBL,ZFIN,ZDB-GENE-120215-145,pecam1b,
A0A0R4IB32,TrEMBL,Ensembl,ENSDART00000159493.2,ENSDARP00000129938.2,
A0A0R4IB32,TrEMBL,ZFIN,ZDB-GENE-060421-2756,baiap2a,
A0A0R4IB33,TrEMBL,Ensembl,ENSDART00000163848.2,ENSDARP00000129958.1,
A0A0R4IB33,TrEMBL,ZFIN,ZDB-GENE-030131-1059,si:ch1073-205c8.3,
A0A0R4IB34,TrEMBL,Ensembl,ENSDART00000124172.3,ENSDARP00000130003.1,
A0A0R4IB34,TrEMBL,ZFIN,ZDB-GENE-131126-29,si:ch73-321d9.2,
A0A0R4IB36,TrEMBL,Ensembl,ENSDART00000166652.2,ENSDARP00000131819.1,
A0A0R4IB36,TrEMBL,ZFIN,ZDB-GENE-060322-6,st6galnac4,
A0A0R4IB38,TrEMBL,Ensembl,ENSDART00000158146.2,ENSDARP00000131934.2,
A0A0R4IB38,TrEMBL,ZFIN,ZDB-GENE-050417-20,azin1a,
A0A0R4IB39,TrEMBL,Ensembl,ENSDART00000158577.2,ENSDARP00000130089.1,
A0A0R4IB39,TrEMBL,ZFIN,ZDB-GENE-040625-79,slc25a11,
A0A0R4IB42,TrEMBL,Ensembl,ENSDART00000158522.2,ENSDARP00000131593.2,
A0A0R4IB42,TrEMBL,ZFIN,ZDB-GENE-040426-2707,hnrnpl2,
A0A0R4IB43,TrEMBL,Ensembl,ENSDART00000167282.3,ENSDARP00000129978.2,
A0A0R4IB43,TrEMBL,ZFIN,ZDB-GENE-030616-51,atp11c,
A0A0R4IB54,TrEMBL,Ensembl,ENSDART00000163451.2,ENSDARP00000129930.2,
A0A0R4IB54,TrEMBL,ZFIN,ZDB-GENE-070809-4,adam15,
A0A0R4IB55,TrEMBL,Ensembl,ENSDART00000172339.2,ENSDARP00000130109.1,
A0A0R4IB55,TrEMBL,ZFIN,ZDB-GENE-050208-802,znf1164,
A0A0R4IB57,TrEMBL,Ensembl,ENSDART00000162813.2,ENSDARP00000130769.1,
A0A0R4IB57,TrEMBL,ZFIN,ZDB-GENE-090311-35,si:ch211-281k19.2,
A0A0R4IB62,TrEMBL,Ensembl,ENSDART00000166871.2,ENSDARP00000132054.1,
A0A0R4IB62,TrEMBL,ZFIN,ZDB-GENE-150409-6,pigrl3.5,
A0A0R4IB66,TrEMBL,Ensembl,ENSDART00000167610.3,ENSDARP00000129979.1,
A0A0R4IB66,TrEMBL,ZFIN,ZDB-GENE-030131-9816,zgc:63569,
A0A0R4IB74,TrEMBL,Ensembl,ENSDART00000161636.2,ENSDARP00000130330.2,
A0A0R4IB74,TrEMBL,ZFIN,ZDB-GENE-120709-30,si:dkey-225n22.4,
A0A0R4IB76,TrEMBL,Ensembl,ENSDART00000170343.2,ENSDARP00000132085.2,
A0A0R4IB76,TrEMBL,ZFIN,ZDB-GENE-080319-2,slc25a13,
A0A0R4IB77,TrEMBL,Ensembl,ENSDART00000164957.2,ENSDARP00000129999.2,
A0A0R4IB77,TrEMBL,ZFIN,ZDB-GENE-030131-3904,inppl1a,
A0A0R4IB83,TrEMBL,Ensembl,ENSDART00000161112.2,ENSDARP00000132015.1,
A0A0R4IB83,TrEMBL,ZFIN,ZDB-GENE-040718-194,olfm1a,
A0A0R4IB85,TrEMBL,Ensembl,ENSDART00000170033.2,ENSDARP00000130150.2,
A0A0R4IB85,TrEMBL,ZFIN,ZDB-GENE-091204-9,slc15a1a,
A0A0R4IB88,TrEMBL,Ensembl,ENSDART00000166457.3,ENSDARP00000130751.1,
A0A0R4IB88,TrEMBL,RefSeq,XP_017213268.1,XM_017357779.1,
A0A0R4IB88,TrEMBL,ZFIN,ZDB-GENE-070912-389,trim45,
A0A0R4IB89,TrEMBL,Ensembl,ENSDART00000166277.2,ENSDARP00000130352.1,
A0A0R4IB89,TrEMBL,ZFIN,ZDB-GENE-140106-251,znf318,
A0A0R4IB90,TrEMBL,Ensembl,ENSDART00000169659.2,ENSDARP00000130039.1,
A0A0R4IB90,TrEMBL,ZFIN,ZDB-GENE-031219-7,myo5b,
A0A0R4IB95,TrEMBL,Ensembl,ENSDART00000163993.2,ENSDARP00000138827.1,
A0A0R4IB95,TrEMBL,Ensembl,ENSDART00000167006.2,ENSDARP00000130084.1,
A0A0R4IB95,TrEMBL,ZFIN,ZDB-GENE-030131-2671,klhl13,
A0A0R4IB98,TrEMBL,Ensembl,ENSDART00000160092.2,ENSDARP00000129991.2,
A0A0R4IB98,TrEMBL,ZFIN,ZDB-GENE-050522-225,cyb5r4,
A0A0R4IB99,TrEMBL,Ensembl,ENSDART00000171872.3,ENSDARP00000130930.1,
A0A0R4IB99,TrEMBL,ZFIN,ZDB-GENE-040426-1506,plek,
A0A0R4IBA7,TrEMBL,Ensembl,ENSDART00000159978.2,ENSDARP00000130059.2,
A0A0R4IBA7,TrEMBL,ZFIN,ZDB-GENE-040426-1299,kyat3.2,
A0A0R4IBA8,TrEMBL,Ensembl,ENSDART00000166282.2,ENSDARP00000132055.1,
A0A0R4IBA8,TrEMBL,ZFIN,ZDB-GENE-040912-54,pnp5b,
A0A0R4IBA9,TrEMBL,Ensembl,ENSDART00000162763.2,ENSDARP00000130850.2,
A0A0R4IBA9,TrEMBL,ZFIN,ZDB-GENE-030131-6550,eif4g2b,
A0A0R4IBB2,TrEMBL,Ensembl,ENSDART00000172368.2,ENSDARP00000131311.2,
A0A0R4IBB2,TrEMBL,ZFIN,ZDB-GENE-050320-122,zgc:113295,
A0A0R4IBB7,TrEMBL,Ensembl,ENSDART00000159161.2,ENSDARP00000130441.1,
A0A0R4IBB7,TrEMBL,ZFIN,ZDB-GENE-141212-56,tradv31.0,
A0A0R4IBB9,TrEMBL,Ensembl,ENSDART00000158927.3,ENSDARP00000132075.1,
A0A0R4IBB9,TrEMBL,ZFIN,ZDB-GENE-030131-1574,anapc5,
A0A0R4IBC0,TrEMBL,Ensembl,ENSDART00000161567.2,ENSDARP00000130079.1,
A0A0R4IBC0,TrEMBL,ZFIN,ZDB-GENE-141210-6,kcnt1b,
A0A0R4IBC1,TrEMBL,Ensembl,ENSDART00000164419.2,ENSDARP00000130031.2,
A0A0R4IBC1,TrEMBL,ZFIN,ZDB-GENE-050913-13,znf1177,
A0A0R4IBC2,TrEMBL,Ensembl,ENSDART00000143411.3,ENSDARP00000130870.1,
A0A0R4IBC2,TrEMBL,ZFIN,ZDB-GENE-091204-286,lrrc31,
