accession	db	ensdarg
Q8QGG8	Ensembl	ENSDARG00000014373.11
Q05AL8	Ensembl	ENSDARG00000013279.10
Q6AZW3	Ensembl	ENSDARG00000071051.7
A0A0R4IU28	Ensembl	ENSDARG00000101744.2
Q5RJ11	Ensembl	ENSDARG00000112635.1
B9X2H5	Ensembl	ENSDARG00000015240.11
F1REQ9	Ensembl	ENSDARG00000086463.4
F1REQ9	Ensembl	ENSDARG00000115063.1
Q6NY69	Ensembl	ENSDARG00000099532.2
E7F3X9	Ensembl	ENSDARG00000078523.4
Q4QRM2	Ensembl	ENSDARG00000023759.7
Q6DHP3	Ensembl	ENSDARG00000070539.7
Q6IQQ0	Ensembl	ENSDARG00000010516.8
Q6IQQ0	Ensembl	ENSDARG00000110263.1
A4IG02	Ensembl	ENSDARG00000062381.8
E7F408	Ensembl	ENSDARG00000061672.6
B3DIS1	Ensembl	ENSDARG00000038672.9
F1QX00	Ensembl	ENSDARG00000033345.9
Q5RJ15	Ensembl	ENSDARG00000116106.1
Q7ZTA3	Ensembl	ENSDARG00000020237.8
X1WH50	Ensembl	ENSDARG00000078748.6
A7MC89	Ensembl	ENSDARG00000076790.4
A8KC22	Ensembl	ENSDARG00000059303.7
E9QDC4	Ensembl	ENSDARG00000096172.2
F1QNV0	Ensembl	ENSDARG00000040321.9
Q6P020	Ensembl	ENSDARG00000042927.8
Q6DC85	Ensembl	ENSDARG00000109275.1
F1Q7C0	Ensembl	ENSDARG00000053318.6
A0A140LG25	Ensembl	ENSDARG00000105348.2
Q68EH1	Ensembl	ENSDARG00000014474.7
Q6NYP6	Ensembl	ENSDARG00000032155.12
Q6DC07	Ensembl	ENSDARG00000015557.8
Q68EH0	Ensembl	ENSDARG00000031048.7
Q68EH0	Ensembl	ENSDARG00000109388.1
Q7T174	Ensembl	ENSDARG00000032272.6
Q7T174	Ensembl	ENSDARG00000112956.1
A0A2R8QP06	Ensembl	ENSDARG00000068637.6
B8JIE9	Ensembl	ENSDARG00000039613.7
Q66I81	Ensembl	ENSDARG00000075677.4
A0A0R4IID9	Ensembl	ENSDARG00000102128.4
F1R9D1	Ensembl	ENSDARG00000053366.8
F1R9D1	Ensembl	ENSDARG00000113522.1
Q1LV33	Ensembl	ENSDARG00000101679.2
Q1LV33	Ensembl	ENSDARG00000110130.1
A0A2R8QF26	Ensembl	ENSDARG00000018460.11
Q6P027	Ensembl	ENSDARG00000045808.9
Q6P027	Ensembl	ENSDARG00000109856.1
A4IG48	Ensembl	ENSDARG00000062674.7
Q56A38	Ensembl	ENSDARG00000017739.7
Q6PH15	Ensembl	ENSDARG00000102453.3
E9QHF8	Ensembl	ENSDARG00000093713.5
Q7SZP3	Ensembl	ENSDARG00000002937.12
A8KB78	Ensembl	ENSDARG00000021838.6
F1QUC4	Ensembl	ENSDARG00000056630.6
A0A0R4IQ20	Ensembl	ENSDARG00000033537.6
A0A0R4IQ20	Ensembl	ENSDARG00000114754.1
B0S682	Ensembl	ENSDARG00000045681.7
Q5SPB7	Ensembl	ENSDARG00000070432.8
A1L2F4	Ensembl	ENSDARG00000069428.5
Q503S9	Ensembl	ENSDARG00000059411.6
A4FVI3	Ensembl	ENSDARG00000104287.2
D3TI67	Ensembl	ENSDARG00000099462.2
D3TI67	Ensembl	ENSDARG00000112525.1
Q6P016	Ensembl	ENSDARG00000029230.8
A0A0R4IJ19	Ensembl	ENSDARG00000014825.12
Q7ZVX7	Ensembl	ENSDARG00000007823.10
Q6DRP3	Ensembl	ENSDARG00000091563.5
F1RAK0	Ensembl	ENSDARG00000075931.6
K4IAH1	Ensembl	ENSDARG00000100854.3
A0A0R4IG80	Ensembl	ENSDARG00000099724.2
Q1LWC9	Ensembl	ENSDARG00000093269.3
Q2PRF0	Ensembl	ENSDARG00000042810.7
F1RDC0	Ensembl	ENSDARG00000023396.9
Q5SNR2	Ensembl	ENSDARG00000016745.7
Q5SNR2	Ensembl	ENSDARG00000114790.1
Q6TLG8	Ensembl	ENSDARG00000103007.2
A0A0U5JAN3	Ensembl	ENSDARG00000090649.3
F1R2E0	Ensembl	ENSDARG00000061735.10
Q9IB47	Ensembl	ENSDARG00000006786.12
A2BHH5	Ensembl	ENSDARG00000059423.8
A0A0G2KK99	Ensembl	ENSDARG00000106667.2
A8BAW4	Ensembl	ENSDARG00000079620.5
E7FDB6	Ensembl	ENSDARG00000099979.3
Q1JQ39	Ensembl	ENSDARG00000015002.8
Q1JQ39	Ensembl	ENSDARG00000110803.1
Q1JQ39	Ensembl	ENSDARG00000110870.1
Q2PRA6	Ensembl	ENSDARG00000093856.3
Q2PRB7	Ensembl	ENSDARG00000041005.7
B3DGG4	Ensembl	ENSDARG00000021442.10
E7EZ94	Ensembl	ENSDARG00000042428.7
E7EZ94	Ensembl	ENSDARG00000110738.1
B0UXI4	Ensembl	ENSDARG00000060368.7
B0UXI4	Ensembl	ENSDARG00000111164.1
Q49IK6	Ensembl	ENSDARG00000003475.11
F1Q5P5	Ensembl	ENSDARG00000006389.8
E7FC63	Ensembl	ENSDARG00000043141.7
F2Z4X1	Ensembl	ENSDARG00000040571.8
Q7SY41	Ensembl	ENSDARG00000023927.8
Q802C7	Ensembl	ENSDARG00000040031.7
A4FUN2	Ensembl	ENSDARG00000100725.2
Q1LY23	Ensembl	ENSDARG00000041362.5
A0A2R8Q4P5	Ensembl	ENSDARG00000112932.1
A0A2R8Q4P5	Ensembl	ENSDARG00000116012.1
F1QJV7	Ensembl	ENSDARG00000044751.5
F1QJV7	Ensembl	ENSDARG00000109625.1
Q7ZUV9	Ensembl	ENSDARG00000017595.10
A8KB58	Ensembl	ENSDARG00000079009.6
C7DZJ6	Ensembl	ENSDARG00000069989.8
Q4VV70	Ensembl	ENSDARG00000002194.11
A7YYI2	Ensembl	ENSDARG00000055115.6
Q2PRE0	Ensembl	ENSDARG00000090892.7
B0V1F9	Ensembl	ENSDARG00000039098.8
E7FCZ2	Ensembl	ENSDARG00000090900.3
B3DIU9	Ensembl	ENSDARG00000005374.9
Q58EP8	Ensembl	ENSDARG00000040118.8
Q6ZM36	Ensembl	ENSDARG00000075682.4
Q9PVD7	Ensembl	ENSDARG00000079802.4
A0A2R8Q8B4	Ensembl	ENSDARG00000099850.3
A0A2R8Q8B4	Ensembl	ENSDARG00000116182.1
A0A2R8RZ31	Ensembl	ENSDARG00000110590.1
A0A2R8RZ31	Ensembl	ENSDARG00000111057.1
Q6PSS4	Ensembl	ENSDARG00000035557.5
Q6PSS4	Ensembl	ENSDARG00000110690.1
F1QAV3	Ensembl	ENSDARG00000078767.6
A3KFQ1	Ensembl	ENSDARG00000112065.1
E9QHI6	Ensembl	ENSDARG00000093546.3
B1N745	Ensembl	ENSDARG00000069311.7
Q6PHG0	Ensembl	ENSDARG00000023117.10
F6NV40	Ensembl	ENSDARG00000005050.8
Q5U3A9	Ensembl	ENSDARG00000019932.8
F1QWB4	Ensembl	ENSDARG00000018914.11
Q8UUT6	Ensembl	ENSDARG00000103732.2
Q568A3	Ensembl	ENSDARG00000035329.8
Q6P3J2	Ensembl	ENSDARG00000043795.6
F1R9C6	Ensembl	ENSDARG00000017728.7
F1R9C6	Ensembl	ENSDARG00000116124.1
F1R9C6	Ensembl	ENSDARG00000113551.1
A8KBR5	Ensembl	ENSDARG00000029936.8
F1QU72	Ensembl	ENSDARG00000013150.10
I6LD65	Ensembl	ENSDARG00000098788.2
Q567E7	Ensembl	ENSDARG00000042214.7
Q567E7	Ensembl	ENSDARG00000110407.1
Q5TZ22	Ensembl	ENSDARG00000007277.9
Q6TNR0	Ensembl	ENSDARG00000018891.11
Q7SZW5	Ensembl	ENSDARG00000057575.4
A3KPM6	Ensembl	ENSDARG00000031712.10
A3KPM6	Ensembl	ENSDARG00000110535.1
A4IG51	Ensembl	ENSDARG00000075123.3
A4IG51	Ensembl	ENSDARG00000109953.1
B0EVQ1	Ensembl	ENSDARG00000101985.2
Q66I07	Ensembl	ENSDARG00000035562.4
A0A0R4IE17	Ensembl	ENSDARG00000098857.2
A8KBV4	Ensembl	ENSDARG00000095281.4
A2BG85	Ensembl	ENSDARG00000112263.1
A2BG85	Ensembl	ENSDARG00000034307.8
A4IG44	Ensembl	ENSDARG00000079934.3
Q5XJR0	Ensembl	ENSDARG00000029003.6
Q6DRF0	Ensembl	ENSDARG00000037930.6
A8E5E3	Ensembl	ENSDARG00000112096.1
E4W699	Ensembl	ENSDARG00000033956.4
Q08C32	Ensembl	ENSDARG00000074337.7
Q5U386	Ensembl	ENSDARG00000011496.9
Q6NTE5	Ensembl	ENSDARG00000019810.7
A0A0R4ILY5	Ensembl	ENSDARG00000101036.3
A5WUU0	Ensembl	ENSDARG00000052881.7
A5WUU0	Ensembl	ENSDARG00000116664.1
C1JIE2	Ensembl	ENSDARG00000013789.12
F1QDQ3	Ensembl	ENSDARG00000021241.10
A0A2R8RN23	Ensembl	ENSDARG00000079624.4
A0A2R8RN23	Ensembl	ENSDARG00000117033.1
B3DIQ7	Ensembl	ENSDARG00000077863.6
Q8AW82	Ensembl	ENSDARG00000039578.7
C1IHV0	Ensembl	ENSDARG00000036084.9
F6P4N7	Ensembl	ENSDARG00000043510.9
Q1ED27	Ensembl	ENSDARG00000059373.6
Q568V0	Ensembl	ENSDARG00000070769.4
Q5QNN2	Ensembl	ENSDARG00000022938.9
Q5QNN2	Ensembl	ENSDARG00000115245.1
Q5QNN2	Ensembl	ENSDARG00000109851.1
Q6AXI7	Ensembl	ENSDARG00000030781.10
B0S5B9	Ensembl	ENSDARG00000110528.1
B0S5B9	Ensembl	ENSDARG00000042974.8
A0A0R4IDU4	Ensembl	ENSDARG00000101949.3
F1QRE0	Ensembl	ENSDARG00000101161.2
Q1L881	Ensembl	ENSDARG00000032627.8
Q1L8I9	Ensembl	ENSDARG00000088484.4
Q1RLW1	Ensembl	ENSDARG00000041715.8
Q6QX43	Ensembl	ENSDARG00000040479.7
Q29RA7	Ensembl	ENSDARG00000000588.9
A8E7R9	Ensembl	ENSDARG00000076106.5
A2CI99	Ensembl	ENSDARG00000101419.2
B2CZC4	Ensembl	ENSDARG00000100592.3
Q4G5W6	Ensembl	ENSDARG00000021143.12
F1R5J9	Ensembl	ENSDARG00000020241.7
F1R5J9	Ensembl	ENSDARG00000110063.1
Q6P3H9	Ensembl	ENSDARG00000037012.5
Q7T340	Ensembl	ENSDARG00000039345.6
Q1LY09	Ensembl	ENSDARG00000062021.6
A0A1L1QZ93	Ensembl	ENSDARG00000103192.3
A0A1L1QZ93	Ensembl	ENSDARG00000116008.1
A8KC28	Ensembl	ENSDARG00000038258.8
A0A0R4I9C5	Ensembl	ENSDARG00000042737.7
E7EYY9	Ensembl	ENSDARG00000001898.11
Q6GMG3	Ensembl	ENSDARG00000000796.12
A0A0G2KSU4	Ensembl	ENSDARG00000104530.3
B7ZVK8	Ensembl	ENSDARG00000044281.10
Q6P696	Ensembl	ENSDARG00000068978.4
F1QRM9	Ensembl	ENSDARG00000044943.8
F1QRM9	Ensembl	ENSDARG00000116096.1
F1QRM9	Ensembl	ENSDARG00000110180.1
Q6DG94	Ensembl	ENSDARG00000042571.7
Q5PQZ5	Ensembl	ENSDARG00000101717.3
Q29YB3	Ensembl	ENSDARG00000036855.6
Q6IQT8	Ensembl	ENSDARG00000002591.10
Q0P490	Ensembl	ENSDARG00000025875.9
A0A2R8QMM9	Ensembl	ENSDARG00000057121.7
A0A2R8QMM9	Ensembl	ENSDARG00000114734.1
F1Q6I4	Ensembl	ENSDARG00000045147.7
F1Q6I4	Ensembl	ENSDARG00000113579.1
F1QMP6	Ensembl	ENSDARG00000079154.3
F1QMP6	Ensembl	ENSDARG00000114377.1
Q5NU21	Ensembl	ENSDARG00000013576.7
Q5PQZ2	Ensembl	ENSDARG00000027199.9
Q5PQZ2	Ensembl	ENSDARG00000112617.1
Q5PQZ2	Ensembl	ENSDARG00000115674.1
F1QB65	Ensembl	ENSDARG00000104069.2
Q29RF1	Ensembl	ENSDARG00000008119.12
Q6NYH0	Ensembl	ENSDARG00000101413.2
F1QZW1	Ensembl	ENSDARG00000079564.4
B8JID2	Ensembl	ENSDARG00000015312.8
B8JID2	Ensembl	ENSDARG00000115152.1
E7FFC4	Ensembl	ENSDARG00000077549.5
Q6DI07	Ensembl	ENSDARG00000101534.2
A0JMQ2	Ensembl	ENSDARG00000039752.6
F1QCU7	Ensembl	ENSDARG00000016739.8
B0S768	Ensembl	ENSDARG00000005576.11
B0S768	Ensembl	ENSDARG00000114033.1
Q5NIW0	Ensembl	ENSDARG00000069265.6
Q6DHM5	Ensembl	ENSDARG00000011049.8
A0JMP2	Ensembl	ENSDARG00000063218.5
E7F5M5	Ensembl	ENSDARG00000019834.10
E7F5M5	Ensembl	ENSDARG00000109944.1
F1QBD4	Ensembl	ENSDARG00000014891.9
A0A2R8QGR6	Ensembl	ENSDARG00000068161.6
A0A2R8QGR6	Ensembl	ENSDARG00000101274.2
Q08BL0	Ensembl	ENSDARG00000099555.3
Q4VCS4	Ensembl	ENSDARG00000110519.1
Q4VCS4	Ensembl	ENSDARG00000053209.8
A0A1X9HIN0	Ensembl	ENSDARG00000069674.4
B0JZJ0	Ensembl	ENSDARG00000099845.3
E9QH55	Ensembl	ENSDARG00000112714.1
E9QH55	Ensembl	ENSDARG00000112109.1
Q4KMC6	Ensembl	ENSDARG00000056134.5
F1QFZ6	Ensembl	ENSDARG00000026682.10
Q6P3H0	Ensembl	ENSDARG00000021443.6
A0A0R4IH70	Ensembl	ENSDARG00000075569.4
A5PMI4	Ensembl	ENSDARG00000020509.9
I3ITA0	Ensembl	ENSDARG00000007863.11
A0A0R4IEN4	Ensembl	ENSDARG00000102433.2
A0A140LH85	Ensembl	ENSDARG00000097876.3
A0A0H2UKF8	Ensembl	ENSDARG00000079122.5
A0A0H2UKF8	Ensembl	ENSDARG00000109756.1
Q7ZUD3	Ensembl	ENSDARG00000028327.10
A7E2K8	Ensembl	ENSDARG00000087301.6
F1QUV2	Ensembl	ENSDARG00000059247.7
F1QUV2	Ensembl	ENSDARG00000112142.1
Q6DI20	Ensembl	ENSDARG00000020676.8
B1WB56	Ensembl	ENSDARG00000045586.4
F1QLT3	Ensembl	ENSDARG00000038056.7
F1QLT3	Ensembl	ENSDARG00000117177.1
F1QLT3	Ensembl	ENSDARG00000113189.1
F1RB95	Ensembl	ENSDARG00000043905.6
Q3B750	Ensembl	ENSDARG00000059128.7
Q5XJ22	Ensembl	ENSDARG00000036394.8
F1QHY7	Ensembl	ENSDARG00000044417.8
A0A8N7XJF2	Ensembl	ENSDARG00000033466.7
I6L9C4	Ensembl	ENSDARG00000009612.11
Q6DRD5	Ensembl	ENSDARG00000010051.11
Q6NTI0	Ensembl	ENSDARG00000075666.4
Q6NTI0	Ensembl	ENSDARG00000114324.1
F1QSW0	Ensembl	ENSDARG00000056717.6
Q6DG45	Ensembl	ENSDARG00000010085.12
Q6NYD8	Ensembl	ENSDARG00000014763.8
A3KPZ2	Ensembl	ENSDARG00000098782.2
Q66HW2	Ensembl	ENSDARG00000014793.8
Q66HW2	Ensembl	ENSDARG00000110243.1
Q66HW2	Ensembl	ENSDARG00000110919.1
A5PN62	Ensembl	ENSDARG00000105009.2
Q6PBN9	Ensembl	ENSDARG00000035798.6
Q6PBN9	Ensembl	ENSDARG00000116914.1
Q9I9B6	Ensembl	ENSDARG00000100494.2
A5PLA1	Ensembl	ENSDARG00000019312.6
A0A0R4IJ75	Ensembl	ENSDARG00000100419.2
Q3B7E7	Ensembl	ENSDARG00000008678.11
Q6NUZ5	Ensembl	ENSDARG00000012192.9
B0R0B2	Ensembl	ENSDARG00000042485.5
B0R0B2	Ensembl	ENSDARG00000109712.1
A8WHA9	Ensembl	ENSDARG00000074850.5
A0A2R8Q5S4	Ensembl	ENSDARG00000100131.2
A0A1D5NSQ7	Ensembl	ENSDARG00000101096.3
A0A1D5NSQ7	Ensembl	ENSDARG00000111016.1
B3DI74	Ensembl	ENSDARG00000068407.6
A8WFT7	Ensembl	ENSDARG00000073708.4
Q90YX4	Ensembl	ENSDARG00000054271.5
A5WUF8	Ensembl	ENSDARG00000095059.3
Q6NX09	Ensembl	ENSDARG00000039452.6
Q6NX09	Ensembl	ENSDARG00000112051.1
E9QEK4	Ensembl	ENSDARG00000044942.7
E9QEK4	Ensembl	ENSDARG00000114416.1
E9QEK4	Ensembl	ENSDARG00000115767.1
Q6YBS2	Ensembl	ENSDARG00000016350.10
Q6P001	Ensembl	ENSDARG00000098746.2
B1NYI3	Ensembl	ENSDARG00000099953.2
F1QN56	Ensembl	ENSDARG00000014496.11
Q2PRE1	Ensembl	ENSDARG00000089994.4
A0A2R8QV39	Ensembl	ENSDARG00000111193.1
A0A2R8QV39	Ensembl	ENSDARG00000115480.1
Q8JGU0	Ensembl	ENSDARG00000045016.9
A0A0R4IB95	Ensembl	ENSDARG00000086463.4
F1QVU5	Ensembl	ENSDARG00000040455.5
A5WVS7	Ensembl	ENSDARG00000022413.9
B0UYN4	Ensembl	ENSDARG00000069846.5
B0UYN4	Ensembl	ENSDARG00000112524.1
Q6DH55	Ensembl	ENSDARG00000004358.7
Q6DH55	Ensembl	ENSDARG00000113470.1
A8WH91	Ensembl	ENSDARG00000053702.8
B7ZVA6	Ensembl	ENSDARG00000063882.5
F1Q7V2	Ensembl	ENSDARG00000075928.6
Q802Y1	Ensembl	ENSDARG00000105293.2
A7MD87	Ensembl	ENSDARG00000057635.7
Q1L8U1	Ensembl	ENSDARG00000070972.7
Q68BU9	Ensembl	ENSDARG00000045413.6
A0A2R8Q763	Ensembl	ENSDARG00000076962.5
A3R4U5	Ensembl	ENSDARG00000069311.7
F2WZ37	Ensembl	ENSDARG00000111035.1
A0A1D5NSE1	Ensembl	ENSDARG00000014439.12
F1RE14	Ensembl	ENSDARG00000063095.7
Q7ZU43	Ensembl	ENSDARG00000056480.5
Q803E3	Ensembl	ENSDARG00000020465.10
E7F354	Ensembl	ENSDARG00000071658.5
E7F354	Ensembl	ENSDARG00000116741.1
E7F0R2	Ensembl	ENSDARG00000088204.4
E7FFU1	Ensembl	ENSDARG00000053836.6
Q6P0C5	Ensembl	ENSDARG00000043960.5
F1Q7F8	Ensembl	ENSDARG00000055080.8
Q6DGY5	Ensembl	ENSDARG00000037402.6
Q9PUS6	Ensembl	ENSDARG00000031885.7
Q2PRK9	Ensembl	ENSDARG00000101554.3
Q2PRK9	Ensembl	ENSDARG00000114773.1
Q2PRK9	Ensembl	ENSDARG00000111377.1
Q6TEM4	Ensembl	ENSDARG00000030547.9
Q6NXA1	Ensembl	ENSDARG00000019941.8
E7FBG1	Ensembl	ENSDARG00000015252.12
A0A140LGR1	Ensembl	ENSDARG00000077948.5
D7RVR8	Ensembl	ENSDARG00000052138.7
A0A0R4IZQ4	Ensembl	ENSDARG00000017874.11
A0A8N7XJ46	Ensembl	ENSDARG00000079347.4
Q7ZVU7	Ensembl	ENSDARG00000043856.8
Q7ZVU7	Ensembl	ENSDARG00000111778.1
A8E5I2	Ensembl	ENSDARG00000028618.11
Q1LYB5	Ensembl	ENSDARG00000115387.1
A0FJI5	Ensembl	ENSDARG00000025607.9
Q5RIF1	Ensembl	ENSDARG00000112240.1
A0A2R8QKE6	Ensembl	ENSDARG00000105631.2
A9NJI7	Ensembl	ENSDARG00000052775.6
Q7ZUI3	Ensembl	ENSDARG00000007025.8
X1WC18	Ensembl	ENSDARG00000097269.2
X1WF29	Ensembl	ENSDARG00000016527.10
K7DYP0	Ensembl	ENSDARG00000091746.6
X1WB93	Ensembl	ENSDARG00000062947.7
X1WBJ5	Ensembl	ENSDARG00000060148.7
X1WE42	Ensembl	ENSDARG00000075707.6
X1WG58	Ensembl	ENSDARG00000017579.10
A0A286YAD1	Ensembl	ENSDARG00000055338.9
A0A286YBC8	Ensembl	ENSDARG00000009142.12
A0A2R8PV18	Ensembl	ENSDARG00000116270.1
A0A2R8PWQ5	Ensembl	ENSDARG00000111644.1
A0A2R8PZJ2	Ensembl	ENSDARG00000077656.6
A0A2R8Q346	Ensembl	ENSDARG00000063701.7
A0A2R8Q4J5	Ensembl	ENSDARG00000105285.2
A0A2R8Q4X8	Ensembl	ENSDARG00000115669.1
A0A2R8Q843	Ensembl	ENSDARG00000112432.1
A0A2R8Q993	Ensembl	ENSDARG00000109478.1
A0A2R8QAF2	Ensembl	ENSDARG00000093496.3
A0A2R8QE78	Ensembl	ENSDARG00000115588.1
A0A2R8QFM9	Ensembl	ENSDARG00000115163.1
A0A2R8QFN5	Ensembl	ENSDARG00000115796.1
A0A2R8QG65	Ensembl	ENSDARG00000115929.1
A0A2R8QGA9	Ensembl	ENSDARG00000110710.1
A0A2R8QHM1	Ensembl	ENSDARG00000111319.1
A0A2R8QHP7	Ensembl	ENSDARG00000114216.1
A0A2R8QJD8	Ensembl	ENSDARG00000113904.1
A0A2R8QJH2	Ensembl	ENSDARG00000115099.1
A0A2R8QN88	Ensembl	ENSDARG00000027154.8
A0A2R8QNM5	Ensembl	ENSDARG00000102986.2
A0A2R8QPA3	Ensembl	ENSDARG00000101419.2
A0A2R8QPZ9	Ensembl	ENSDARG00000103361.3
A0A2R8QQQ9	Ensembl	ENSDARG00000113823.1
A0A2R8QQS8	Ensembl	ENSDARG00000110753.1
A0A2R8QTT0	Ensembl	ENSDARG00000109387.1
A0A2R8QUE9	Ensembl	ENSDARG00000111633.1
A0A2R8RIU4	Ensembl	ENSDARG00000115048.1
A0A2R8RIX8	Ensembl	ENSDARG00000109963.1
A0A2R8RM77	Ensembl	ENSDARG00000097959.2
A0A2R8RNJ7	Ensembl	ENSDARG00000110378.1
A0A2R8RVQ7	Ensembl	ENSDARG00000116927.1
A0A0G2KQ30	Ensembl	ENSDARG00000098508.2
A0A0G2KVD0	Ensembl	ENSDARG00000102116.2
A0A0G2KZU0	Ensembl	ENSDARG00000078172.5
A0A0G2L0D1	Ensembl	ENSDARG00000101024.2
A0A0G2L9X9	Ensembl	ENSDARG00000103665.2
E7FGX9	Ensembl	ENSDARG00000045383.6
A0A0H2UKI8	Ensembl	ENSDARG00000099327.2
A0A0R4IT84	Ensembl	ENSDARG00000099021.2
A0A0N4STZ9	Ensembl	ENSDARG00000112873.1
A0A0M3HEL7	Ensembl	ENSDARG00000056504.6
A0A0N4STR8	Ensembl	ENSDARG00000100587.2
A0A0R4IEE2	Ensembl	ENSDARG00000115081.1
A0A0R4IIB3	Ensembl	ENSDARG00000102855.2
A0A0R4IIZ9	Ensembl	ENSDARG00000098889.2
A0A0R4IJV4	Ensembl	ENSDARG00000102809.2
A0A0R4IKT5	Ensembl	ENSDARG00000101507.3
A0A0R4ILX8	Ensembl	ENSDARG00000102825.2
A0A0R4INF3	Ensembl	ENSDARG00000100311.2
A0A0R4IPW3	Ensembl	ENSDARG00000098515.2
A0A0R4IQH5	Ensembl	ENSDARG00000100910.2
A0A0R4IRZ4	Ensembl	ENSDARG00000090834.5
A0A0R4ISN1	Ensembl	ENSDARG00000100593.2
A0A0R4IUD5	Ensembl	ENSDARG00000103122.2
A0A0R4IVW9	Ensembl	ENSDARG00000101030.3
A0A0R4IXW6	Ensembl	ENSDARG00000090982.3
A0A0R4IZJ3	Ensembl	ENSDARG00000103375.3
A0A140LFY8	Ensembl	ENSDARG00000103915.3
A3KPZ3	Ensembl	ENSDARG00000098317.2
A0A1D5NS42	Ensembl	ENSDARG00000089236.4
A0A1D5NSH1	Ensembl	ENSDARG00000036139.6
F8W3V8	Ensembl	ENSDARG00000036186.9
F8W3L6	Ensembl	ENSDARG00000063295.8
F8W5K7	Ensembl	ENSDARG00000074892.4
E7EZ85	Ensembl	ENSDARG00000086874.4
E7F173	Ensembl	ENSDARG00000114103.1
E7F1U4	Ensembl	ENSDARG00000069765.8
E7F3D1	Ensembl	ENSDARG00000091135.3
E7FG82	Ensembl	ENSDARG00000088274.4
F1QGB6	Ensembl	ENSDARG00000086831.4
F1QKR8	Ensembl	ENSDARG00000039108.9
F1QKZ0	Ensembl	ENSDARG00000078105.5
F1QM33	Ensembl	ENSDARG00000061832.6
F1QQU6	Ensembl	ENSDARG00000077211.5
F1QTD1	Ensembl	ENSDARG00000036045.5
F1QW92	Ensembl	ENSDARG00000017811.11
F1R355	Ensembl	ENSDARG00000075933.4
F1R3H1	Ensembl	ENSDARG00000039871.6
F1R478	Ensembl	ENSDARG00000093370.2
F1R7D4	Ensembl	ENSDARG00000061904.7
F1REN9	Ensembl	ENSDARG00000045510.8
E7EXR5	Ensembl	ENSDARG00000090601.3
E7EXY5	Ensembl	ENSDARG00000042840.10
E7EYW0	Ensembl	ENSDARG00000016483.11
E7F3I7	Ensembl	ENSDARG00000079414.5
E7F571	Ensembl	ENSDARG00000063580.8
E7F7S9	Ensembl	ENSDARG00000087742.4
E7F871	Ensembl	ENSDARG00000087492.3
E7FA01	Ensembl	ENSDARG00000079608.4
E7FA63	Ensembl	ENSDARG00000075858.4
E7FE00	Ensembl	ENSDARG00000021885.7
F1Q7I8	Ensembl	ENSDARG00000077161.4
F1QCC5	Ensembl	ENSDARG00000035116.6
F1QJG1	Ensembl	ENSDARG00000095596.3
F1QM53	Ensembl	ENSDARG00000026582.8
F1QQP6	Ensembl	ENSDARG00000006527.11
F1R6E4	Ensembl	ENSDARG00000094791.2
A5PN27	Ensembl	ENSDARG00000058719.9
A8HAM3	Ensembl	ENSDARG00000053918.7
B8A6D2	Ensembl	ENSDARG00000052375.7
B8JIU1	Ensembl	ENSDARG00000075687.5
E9QIW2	Ensembl	ENSDARG00000012389.11
A0A286Y9P2	Ensembl	ENSDARG00000088899.5
F1QAK5	Ensembl	ENSDARG00000058231.7
E9QHY4	Ensembl	ENSDARG00000092134.2
E9QJN6	Ensembl	ENSDARG00000034883.8
E9QD74	Ensembl	ENSDARG00000059123.7
E9QG43	Ensembl	ENSDARG00000093386.3
F1QR74	Ensembl	ENSDARG00000025299.10
F1QSC2	Ensembl	ENSDARG00000039729.8
F1QVX7	Ensembl	ENSDARG00000074680.5
F1R058	Ensembl	ENSDARG00000024124.8
U3JA85	Ensembl	ENSDARG00000061622.8
E9QDX6	Ensembl	ENSDARG00000062674.7
E9QG01	Ensembl	ENSDARG00000018106.8
E9QIA9	Ensembl	ENSDARG00000095539.2
E9QIX2	Ensembl	ENSDARG00000017905.9
F1QLK2	Ensembl	ENSDARG00000040640.9
F1QQY3	Ensembl	ENSDARG00000056145.7
F1R8W6	Ensembl	ENSDARG00000077768.5
Q1L868	Ensembl	ENSDARG00000004311.7
Q1LVS6	Ensembl	ENSDARG00000057974.8
Q5TZ73	Ensembl	ENSDARG00000011885.8
B8JIY3	Ensembl	ENSDARG00000039543.6
B8JMI5	Ensembl	ENSDARG00000010482.8
F6NSP9	Ensembl	ENSDARG00000001879.11
I3ISY5	Ensembl	ENSDARG00000078576.5
R4GF05	Ensembl	ENSDARG00000011113.7
A0A2R8PVI8	Ensembl	ENSDARG00000039729.8
A0A2R8PWK6	Ensembl	ENSDARG00000102550.2
A0A2R8PX31	Ensembl	ENSDARG00000110941.1
A0A2R8PXZ0	Ensembl	ENSDARG00000115370.1
A0A2R8PYY6	Ensembl	ENSDARG00000115681.1
A0A2R8PZN7	Ensembl	ENSDARG00000099574.2
A0A2R8Q0U5	Ensembl	ENSDARG00000110770.1
A0A2R8Q446	Ensembl	ENSDARG00000040358.9
A0A2R8Q4P4	Ensembl	ENSDARG00000113031.1
A0A2R8Q5I9	Ensembl	ENSDARG00000098090.2
A0A2R8Q6Y5	Ensembl	ENSDARG00000005814.7
A0A2R8Q8P0	Ensembl	ENSDARG00000098883.2
A0A2R8Q9R1	Ensembl	ENSDARG00000075349.6
A0A2R8QAA4	Ensembl	ENSDARG00000105119.2
A0A2R8QAD8	Ensembl	ENSDARG00000057241.4
